CHARTER,CITYST,STATE,STATEGDP,COST,FAILDATE,NAME,ASSET,DEPOSIT,state_latitude,state_longitude
NM,"LYNNWOOD, WA",Washington,380990,154993,4/16/2010,CITY BANK,981913,919606,47.400902,-121.490494
NM,"OAKLAND, CA",California,2036015,22715,4/16/2010,INNOVATIVE BANK,266816,223164,36.116203,-119.681564
N,"FORT PIERCE, FL",Florida,775040,0,4/16/2010,RIVERSIDE NATIONAL BANK OF FLORIDA,3393818,2724475,27.994402,-81.760254
SI,"LOWELL, MA",Massachusetts,425793,18261,4/16/2010,BUTLER BANK,245534,227420,42.230171,-71.530106
SB,"PALATKA, FL",Florida,775040,11969,4/16/2010,FIRST FEDERAL BANK OF NORTH FLORIDA,440122,369617,27.994402,-81.760254
NM,"SAN RAFAEL, CA",California,2036015,0,4/16/2010,TAMALPAIS BANK,611504,457206,36.116203,-119.681564
NM,"STERLING HEIGHTS, MI",Michigan,404217,20977,4/16/2010,LAKESIDE COMMUNITY BANK,49173,48622,43.326618,-84.536095
NM,"CLERMONT, FL",Florida,775040,16404,4/16/2010,AMERICANFIRST BANK,104034,100070,27.994402,-81.760254
SB,"SUGAR CREEK, MO",Missouri,266835,44669,4/17/2009,AMERICAN STERLING BANK,166456,170946,38.456085,-92.288368
NM,"ELKO, NV",Nevada,128241,20023,4/17/2009,GREAT BASIN BANK OF NEVADA,238940,220834,38.313515,-117.055374
NM,"ORANGE PARK, FL",Florida,794842,25231,4/19/2013,HERITAGE BANK OF NORTH FLORIDA,103960,106348,27.994402,-81.760254
SB,"LEXINGTON, KY",Kentucky,181506,7767,4/19/2013,FIRST FEDERAL BANK,92982,87196,37.66814,-84.670067
NM,"MARIANNA, FL",Florida,794842,7920,4/19/2013,CHIPOLA COMMUNITY BANK,37471,37067,27.994402,-81.760254
SB,"FORT LEE, NJ",New Jersey,517196,11925,4/20/2012,"FORT LEE FEDERAL SAVINGS BANK, FSB",48861,47786,40.298904,-74.521011
N,"ROCKFORD, IL",Illinois,698180,15808,4/23/2010,"AMCORE BANK, NATIONAL ASSOCIATION",3066240,2743485,40.349457,-88.986137
NM,"PEOTONE, IL",Illinois,698180,45596,4/23/2010,PEOTONE BANK AND TRUST COMPANY,130165,124676,40.349457,-88.986137
NM,"CHICAGO, IL",Illinois,698180,377438,4/23/2010,BROADWAY BANK,1059194,1023421,40.349457,-88.986137
SI,"CHICAGO, IL",Illinois,698180,38088,4/23/2010,LINCOLN PARK SAVINGS BANK,194618,162627,40.349457,-88.986137
NM,"CHICAGO, IL",Illinois,698180,41327,4/23/2010,CITIZENS BANK & TRUST COMPANY OF CHICAGO,73490,72772,40.349457,-88.986137
NM,"CHICAGO, IL",Illinois,698180,132056,4/23/2010,NEW CENTURY BANK,447239,438999,40.349457,-88.986137
NM,"NAPERVILLE, IL",Illinois,698180,189658,4/23/2010,WHEATLAND BANK,441694,448917,40.349457,-88.986137
NM,"CALABASAS, CA",California,1995440,8556,4/24/2009,FIRST BANK OF BEVERLY HILLS,1260354,866492,36.116203,-119.681564
SM,"FARMINGTON HILLS, MI",Michigan,383140,48551,4/24/2009,MICHIGAN HERITAGE BANK,167710,149065,43.326618,-84.536095
SB,"KETCHUM, ID",Idaho,57328,109230,4/24/2009,"FIRST BANK OF IDAHO, FSB",490656,370580,44.240459,-114.478828
NM,"KENNESAW, GA",Georgia,428741,32820,4/24/2009,AMERICAN SOUTHERN BANK,105950,105940,33.040619,-83.643074
NM,"FAIRFAX, SC",South Carolina,185987,22149,4/25/2014,ALLENDALE COUNTY BANK,49498,49356,33.856892,-80.945007
NM,"DOUGLASVILLE, GA",Georgia,454909,89606,4/26/2013,DOUGLAS COUNTY BANK,317288,315326,33.040619,-83.643074
NM,"LENOIR, NC",North Carolina,452056,16490,4/26/2013,PARKWAY BANK,109642,104709,35.630066,-79.806419
N,"PALM DESERT, CA",California,2113096,26331,4/27/2012,PALM DESERT NATIONAL BANK,129253,129023,36.116203,-119.681564
SM,"CAMBRIDGE, MD",Maryland,332524,57856,4/27/2012,BANK OF THE EASTERN SHORE,162460,150951,39.063946,-76.802101
SB,"MAPLE GROVE, MN",Minnesota,298328,79681,4/27/2012,"INTER SAVINGS BANK, FSB D/B/A/ INTERBANK, FSB",463840,458053,45.694454,-93.900192
SB,"PAWLEYS ISLAND, SC",South Carolina,177618,83230,4/27/2012,PLANTATION FEDERAL BANK,433512,415943,33.856892,-80.945007
NM,"GAITHERSBURG, MD",Maryland,332524,26694,4/27/2012,HARVEST BANK OF MARYLAND,163019,145534,39.063946,-76.802101
NM,"NEW ORLEANS, LA",Louisiana,233352,787005,4/28/2017,FIRST NBC BANK,3325870,3032208,31.169546,-91.867805
SM,"VALDOSTA, GA",Georgia,441627,212045,4/29/2011,THE PARK AVENUE BANK,849409,724483,33.040619,-83.643074
N,"WINTER PARK, FL",Florida,772021,42899,4/29/2011,FIRST NATIONAL BANK OF CENTRAL FLORIDA,342079,308784,27.994402,-81.760254
NM,"MOUNT CLEMENS, MI",Michigan,414834,98636,4/29/2011,COMMUNITY CENTRAL BANK,451683,371494,43.326618,-84.536095
NM,"BROOKSVILLE, FL",Florida,772021,17194,4/29/2011,CORTEZ COMMUNITY  BANK,66282,65439,27.994402,-81.760254
NM,"DALLAS, GA",Georgia,441627,105180,4/29/2011,FIRST CHOICE COMMUNITY BANK,291196,294769,33.040619,-83.643074
NM,"MEMPHIS, TN",Tennessee,310143,10372,4/29/2016,TRUST COMPANY BANK,18998,20148,35.747845,-86.692345
NM,"BARBOURSVILLE, WV",West Virginia,70444,43807,4/3/2020,THE FIRST STATE BANK,151808,143102,38.491226,-80.95457
N,"BUTLER, MO",Missouri,270733,8620,4/30/2010,BC NATIONAL BANKS,52204,43635,38.456085,-92.288368
NM,"EVERETT, WA",Washington,380990,453920,4/30/2010,FRONTIER BANK,3250734,2846886,47.400902,-121.490494
SI,"PORT HURON, MI",Michigan,404217,340615,4/30/2010,CF BANCORP,1599122,1418445,43.326618,-84.536095
NM,"CREVE COEUR, MO",Missouri,270733,57091,4/30/2010,CHAMPION BANK,195510,162816,38.456085,-92.288368
SM,"GOLD CANYON, AZ",Arizona,273482,8263,4/5/2013,GOLD CANYON BANK,42125,41728,33.729759,-111.431221
N,"WESTERN SPRINGS, IL",Illinois,711283,38047,4/8/2011,WESTERN SPRINGS NATIONAL BANK AND TRUST,186677,182441,40.349457,-88.986137
NM,"LAS VEGAS, NV",Nevada,130698,38492,4/8/2011,NEVADA COMMERCE BANK,135064,128573,38.313515,-117.055374
N,"MYRTLE BEACH, SC",South Carolina,172131,164585,4/9/2010,BEACH FIRST NATIONAL BANK,590024,521138,33.856892,-80.945007
N,"ATLANTA, GA",Georgia,428741,643778,5/1/2009,"SILVERTON BANK, NATIONAL ASSOCIATION",4157246,3314928,33.040619,-83.643074
NM,"LAYTON, UT",Utah,121431,114374,5/1/2009,AMERICA WEST BANK,281564,286040,40.150032,-111.862434
NM,"RIDGEWOOD, NJ",New Jersey,506851,18187,5/1/2009,CITIZENS COMMUNITY BANK,40657,40664,40.298904,-74.521011
NM,"SAN FRANCISCO, CA",California,,16657086,5/1/2023,FIRST REPUBLIC BANK,212638872,176436706,36.116203,-119.681564
NM,"VALDOSTA, GA",Georgia,454909,16002,5/10/2013,SUNRISE BANK,60793,57775,33.040619,-83.643074
NM,"ASHEVILLE, NC",North Carolina,452056,7943,5/10/2013,PISGAH COMMUNITY BANK,21880,21246,35.630066,-79.806419
SM,"ELMWOOD PARK, IL",Illinois,698180,0,5/14/2010,MIDWEST BANK AND TRUST COMPANY,3172915,2420738,40.349457,-88.986137
NM,"SPRINGFIELD, MO",Missouri,270733,25580,5/14/2010,SOUTHWEST COMMUNITY BANK,100659,102463,38.456085,-92.288368
NM,"SAINT MARYS, GA",Georgia,433727,36321,5/14/2010,SATILLA COMMUNITY BANK,135688,134005,33.040619,-83.643074
NM,"PLYMOUTH, MI",Michigan,404217,23558,5/14/2010,NEW LIBERTY BANK,111239,101884,43.326618,-84.536095
